_id,id,date,cds_bought,spent
4,1,19970101,2,29.33
4,1,19970118,2,29.73
4,1,19970802,1,14.96
4,1,19971212,2,26.48
21,2,19970101,3,63.34
21,2,19970113,1,11.77
50,3,19970101,1,6.79
71,4,19970101,1,13.97
86,5,19970101,2,23.94
111,6,19970101,1,35.99
111,6,19970111,1,32.99
111,6,19970315,4,77.96
111,6,19970416,3,59.3
111,6,19970424,2,134.98
111,6,19970623,1,91.92
111,6,19970722,3,47.08
111,6,19970726,2,71.96
111,6,19971025,3,78.47
111,6,19971206,3,83.47
111,6,19980118,4,84.46
111,6,19980215,4,123.96
111,6,19980221,2,32.98
111,6,19980226,2,23.06
111,6,19980510,1,72.99
111,6,19980620,3,55.47
112,7,19970101,1,11.77
112,7,19970205,1,11.77
113,8,19970101,3,32.91
113,8,19980304,1,15.27
113,8,19980307,1,11.49
114,9,19970101,1,16.36
114,9,19970501,2,28.13
114,9,19970908,1,22.97
114,9,19980210,1,28.49
114,9,19980211,2,28.98
131,10,19970101,2,30.32
133,11,19970101,1,18.99
133,11,19970127,1,14.37
133,11,19970201,1,9.77
133,11,19970302,1,15.99
133,11,19970504,3,47.33
133,11,19970621,3,59.74
133,11,19971111,2,32.98
151,12,19970101,1,13.97
166,13,19970101,2,29.53
166,13,19971130,2,16.48
166,13,19971213,3,36.97
166,13,19971221,2,17.98
166,13,19971224,3,36.97
166,13,19980224,1,11.49
166,13,19980318,1,11.88
166,13,19980527,1,11.88
181,14,19970101,3,43.7
198,15,19970101,1,15.76
221,16,19970101,1,12.49
228,17,19970101,2,25.98
228,17,19970206,2,23.54
228,17,19970211,1,13.97
228,17,19970212,1,27.77
228,17,19970228,1,9.98
228,17,19970311,1,15.36
228,17,19970527,1,21.97
228,17,19970531,1,17.3
228,17,19970708,3,51.75
228,17,19970807,2,36.74
228,17,19970828,1,23.97
228,17,19971229,3,41.47
228,17,19980106,1,29.99
234,18,19970101,1,13.97
234,18,19970204,1,9.99
226,19,19970102,2,35.93
226,19,19970223,2,26.73
226,19,19970420,2,23.76
226,19,19970719,2,24.74
226,19,19980215,1,15.49
226,19,19980505,3,43.47
243,20,19970102,2,17.96
256,21,19970102,1,14.99
256,21,19970302,2,34.6
256,21,19970414,1,29.99
261,22,19970102,1,8.77
281,23,19970102,1,14.7
297,24,19970102,1,14.96
312,25,19970102,2,87.74
312,25,19971221,1,14.99
314,26,19970102,1,3.99
314,26,19970113,10,166.89
314,26,19970113,4,60.25
333,27,19970102,1,15.9
341,28,19970102,2,26.14
341,28,19970727,4,80.46
350,29,19970102,1,46.37
353,30,19970102,2,28.76
353,30,19970212,2,40.47
367,31,19970102,1,44.77
388,32,19970102,1,10.77
408,33,19970102,1,25.99
425,34,19970102,1,14.99
429,35,19970102,1,11.77
429,35,19970711,2,31.14
429,35,19980614,1,59.49
440,36,19970102,1,14.96
473,37,19970102,3,34.97
489,38,19970102,3,47.0
489,38,19970117,1,13.97
502,39,19970102,1,15.36
502,39,19971009,1,16.99
516,40,19970102,1,14.99
