idcase,depvar,ic_gc,ic_gr,ic_ec,ic_er,ic_hp,oc_gc,oc_gr,oc_ec,oc_er,oc_hp,income,agehed,rooms,region
1,gc,866.0,962.64,859.9,995.76,1135.5,199.69,151.72,553.34,505.6,237.88,7,25,6,ncostl
2,gc,727.93,758.89,796.82,894.69,968.9,168.66,168.66,520.24,486.49,199.19,5,60,5,scostl
3,gc,599.48,783.05,719.86,900.11,1048.3,165.58,137.8,439.06,404.74,171.47,4,65,2,ncostl
4,er,835.17,793.06,761.25,831.04,1048.7,180.88,147.14,483.0,425.22,222.95,2,50,4,scostl
5,er,755.59,846.29,858.86,985.64,883.05,174.91,138.9,404.41,389.52,178.49,2,25,6,valley
6,gc,666.11,841.71,693.74,862.56,859.18,135.67,140.97,398.22,371.04,209.27,6,65,7,scostl
7,gc,670.1,941.25,633.63,952.3,1086.8,191.84,147.57,478.36,445.97,236.99,4,35,2,scostl
8,gc,778.03,1022.1,813.33,1012.3,990.21,187.61,158.66,502.4,464.77,203.78,6,20,7,valley
9,gc,928.34,1212.4,875.7,1024.8,1232.5,168.7,189.81,552.98,451.76,269.88,5,60,6,scostl
10,gc,682.88,1044.8,775.86,874.49,878.09,176.14,136.43,532.22,472.39,217.34,7,20,2,scostl
11,gc,858.26,815.69,792.29,774.69,1076.0,159.92,134.55,428.1,380.78,230.16,5,60,6,mountn
12,gc,1021.7,1007.1,944.35,1325.0,1249.6,214.8,190.79,568.33,475.72,246.0,7,25,4,mountn
13,gc,651.83,823.59,797.34,880.8,792.92,127.4,147.48,406.71,338.03,197.94,5,35,3,ncostl
14,gr,568.44,617.43,687.18,718.72,775.54,119.45,111.86,365.92,395.14,173.53,2,30,6,valley
15,gc,602.51,815.95,594.0,736.77,934.23,139.54,122.44,424.71,322.95,180.51,3,35,2,valley
16,gr,768.08,1114.1,801.2,1092.4,1108.4,198.39,160.99,443.16,380.19,229.37,4,35,4,scostl
17,hp,723.92,929.7,821.79,969.64,1058.0,160.4,147.08,432.58,446.38,209.57,6,55,2,scostl
18,hp,630.81,727.37,696.89,853.82,779.94,147.92,103.69,362.99,448.43,165.22,7,35,4,scostl
19,er,555.44,775.24,572.3,664.22,707.79,106.53,106.52,341.16,290.74,139.89,6,65,2,ncostl
20,gc,899.87,1214.2,925.62,1140.0,1155.3,213.84,186.6,561.69,528.22,251.16,7,50,4,ncostl
21,ec,657.54,892.16,788.07,799.52,1083.1,176.15,148.93,440.99,286.29,203.87,5,40,5,scostl
22,gr,761.29,1034.8,934.75,1009.5,1192.1,199.84,155.97,496.77,414.79,233.74,5,35,4,scostl
23,gc,575.07,865.23,619.65,880.97,879.44,109.94,130.64,417.32,362.24,196.12,4,20,7,scostl
24,hp,830.08,920.85,805.29,806.59,1162.8,188.69,146.41,599.15,389.6,220.51,5,35,3,scostl
25,gc,974.55,1047.2,943.05,1130.5,1196.8,206.99,174.96,577.2,510.66,217.19,4,45,3,ncostl
26,gr,737.47,1042.7,882.55,1187.9,1055.0,207.36,145.48,527.88,455.8,265.62,2,30,7,scostl
27,gc,803.75,921.48,869.65,942.49,962.02,172.26,162.25,486.99,427.11,205.72,4,35,7,scostl
28,ec,872.17,927.82,991.82,913.32,1117.6,185.3,182.66,584.83,473.1,238.28,6,60,4,scostl
29,ec,690.95,587.58,724.01,993.25,981.73,147.89,135.81,443.82,440.21,191.44,4,25,3,ncostl
30,gc,720.41,969.83,805.08,941.41,1159.4,174.76,164.62,540.32,436.33,212.74,7,55,7,ncostl
31,gc,677.05,918.54,838.01,1144.4,988.94,197.23,156.81,519.27,496.69,239.64,4,50,2,scostl
32,gr,665.07,876.29,671.78,976.01,723.81,150.21,146.17,422.32,412.46,214.03,5,45,7,ncostl
33,gr,974.53,1264.3,1030.3,1153.2,1271.9,186.48,194.23,600.58,550.22,248.47,3,65,4,mountn
34,gc,714.53,956.83,785.95,963.54,1091.7,201.48,170.79,535.48,472.71,235.78,5,60,5,scostl
35,gc,530.05,757.67,689.1,876.97,822.9,157.24,130.44,419.6,365.16,149.2,6,60,4,scostl
36,gc,687.34,776.77,918.92,897.8,898.21,165.15,151.81,472.24,421.59,162.02,4,35,3,scostl
37,gr,635.2,825.44,618.3,819.38,942.03,148.94,129.25,447.7,342.36,166.67,7,30,5,mountn
38,gc,651.67,847.01,891.58,1070.1,1087.4,171.33,158.73,493.19,436.25,234.78,2,60,2,scostl
39,gc,685.47,912.23,899.0,1060.2,1109.5,171.5,145.07,415.94,473.65,233.63,6,45,2,valley
40,er,790.89,1046.4,776.67,1054.0,1234.6,185.91,166.15,491.1,432.58,206.5,2,65,4,scostl
41,gc,785.89,1008.6,788.79,833.05,752.91,180.3,143.57,527.18,400.46,247.12,7,50,5,scostl
42,gr,943.98,1086.5,891.47,1148.3,1401.2,237.11,170.95,590.57,580.73,254.61,2,55,2,mountn
43,gc,579.96,834.61,828.73,938.83,1025.7,152.09,149.71,432.42,399.79,189.1,4,45,2,ncostl
