frequency,recency,T,monetary_value
2,30.43,38.86,22.35
1,1.71,38.86,11.77
0,0.0,38.86,0.0
0,0.0,38.86,0.0
0,0.0,38.86,0.0
7,29.43,38.86,73.74
1,5.0,38.86,11.77
0,0.0,38.86,0.0
2,35.71,38.86,25.55
0,0.0,38.86,0.0
5,24.43,38.86,29.44
0,0.0,38.86,0.0
0,0.0,38.86,0.0
0,0.0,38.86,0.0
0,0.0,38.86,0.0
0,0.0,38.86,0.0
10,34.14,38.86,24.24
1,4.86,38.86,9.99
3,28.29,38.71,25.08
0,0.0,38.71,0.0
2,14.57,38.71,32.3
0,0.0,38.71,0.0
0,0.0,38.71,0.0
0,0.0,38.71,0.0
0,0.0,38.71,0.0
1,1.57,38.71,227.14
0,0.0,38.71,0.0
1,29.43,38.71,80.46
0,0.0,38.71,0.0
1,5.86,38.71,40.47
0,0.0,38.71,0.0
0,0.0,38.71,0.0
0,0.0,38.71,0.0
0,0.0,38.71,0.0
1,27.14,38.71,31.14
0,0.0,38.71,0.0
0,0.0,38.71,0.0
1,2.14,38.71,13.97
0,0.0,38.71,0.0
0,0.0,38.71,0.0
0,0.0,38.57,0.0
0,0.0,38.57,0.0
0,0.0,38.57,0.0
0,0.0,38.57,0.0
1,24.43,38.57,14.96
12,34.43,38.57,29.54
0,0.0,38.57,0.0
0,0.0,38.57,0.0
1,1.57,38.57,14.37
0,0.0,38.57,0.0
0,0.0,38.57,0.0
0,0.0,38.57,0.0
0,0.0,38.57,0.0
0,0.0,38.57,0.0
0,0.0,38.57,0.0
2,33.14,38.57,28.03
1,4.29,38.57,15.36
0,0.0,38.43,0.0
1,38.43,38.43,6.49
0,0.0,38.43,0.0
4,29.43,38.43,53.4
0,0.0,38.43,0.0
1,16.14,38.43,43.13
0,0.0,38.43,0.0
0,0.0,38.43,0.0
0,0.0,38.43,0.0
2,21.14,38.43,133.48
0,0.0,38.43,0.0
0,0.0,38.43,0.0
3,29.29,38.43,42.63
0,0.0,38.43,0.0
0,0.0,38.43,0.0
1,5.86,38.43,69.23
0,0.0,38.43,0.0
1,5.14,38.43,20.77
0,0.0,38.43,0.0
0,0.0,38.43,0.0
0,0.0,38.29,0.0
3,16.86,38.29,20.22
0,0.0,38.29,0.0
0,0.0,38.29,0.0
1,7.43,38.29,42.09
0,0.0,38.29,0.0
0,0.0,38.29,0.0
0,0.0,38.29,0.0
7,26.43,38.29,27.63
0,0.0,38.29,0.0
10,35.43,38.29,13.66
0,0.0,38.29,0.0
0,0.0,38.29,0.0
1,33.29,38.29,14.99
6,37.43,38.29,50.87
0,0.0,38.29,0.0
0,0.0,38.29,0.0
0,0.0,38.29,0.0
0,0.0,38.29,0.0
0,0.0,38.29,0.0
2,31.86,38.29,33.42
4,37.57,38.29,20.68
1,23.86,38.29,26.22
5,36.14,38.14,17.47
0,0.0,38.14,0.0
0,0.0,38.14,0.0
0,0.0,38.14,0.0
1,24.14,38.14,92.8
1,6.14,38.14,52.3
0,0.0,38.14,0.0
0,0.0,38.14,0.0
1,0.29,38.14,39.09
0,0.0,38.14,0.0
1,0.29,38.14,12.97
0,0.0,38.14,0.0
0,0.0,38.14,0.0
1,24.14,38.14,24.99
0,0.0,38.14,0.0
1,5.29,38.14,28.31
0,0.0,38.14,0.0
0,0.0,38.14,0.0
0,0.0,38.14,0.0
0,0.0,38.14,0.0
1,3.0,38.14,13.77
0,0.0,38.14,0.0
0,0.0,38.14,0.0
0,0.0,38.14,0.0
1,7.14,38.14,36.71
0,0.0,38.0,0.0
0,0.0,38.0,0.0
0,0.0,38.0,0.0
4,7.57,38.0,13.62
3,26.0,38.0,19.36
0,0.0,38.0,0.0
1,24.0,38.0,71.66
2,28.43,38.0,13.87
0,0.0,38.0,0.0
1,23.43,38.0,19.54
2,7.43,38.0,23.48
0,0.0,38.0,0.0
2,16.86,38.0,51.8
1,2.14,38.0,29.33
1,15.71,38.0,23.54
0,0.0,38.0,0.0
5,6.86,38.0,35.58
2,28.57,38.0,15.16
7,34.14,38.0,22.92
2,35.71,38.0,18.98
0,0.0,38.0,0.0
4,29.29,38.0,29.86
13,37.86,38.0,29.34
0,0.0,38.0,0.0
4,33.0,38.0,28.53
4,35.29,38.0,24.94
0,0.0,38.0,0.0
0,0.0,38.0,0.0
1,2.86,38.0,16.7
0,0.0,38.0,0.0
1,6.43,38.0,34.32
29,37.71,38.0,26.26
0,0.0,37.86,0.0
3,24.71,37.86,46.59
0,0.0,37.86,0.0
0,0.0,37.86,0.0
1,2.0,37.86,46.28
0,0.0,37.86,0.0
10,37.0,37.86,62.44
0,0.0,37.86,0.0
0,0.0,37.86,0.0
13,28.14,37.86,25.46
0,0.0,37.86,0.0
0,0.0,37.86,0.0
1,37.43,37.86,14.49
0,0.0,37.86,0.0
0,0.0,37.86,0.0
0,0.0,37.86,0.0
0,0.0,37.86,0.0
0,0.0,37.86,0.0
0,0.0,37.71,0.0
0,0.0,37.71,0.0
6,32.86,37.71,35.18
8,36.14,37.71,49.25
0,0.0,37.71,0.0
0,0.0,37.71,0.0
0,0.0,37.71,0.0
1,5.0,37.71,15.76
0,0.0,37.71,0.0
4,36.14,37.71,33.91
0,0.0,37.71,0.0
2,7.86,37.71,11.87
3,21.14,37.71,37.99
3,6.0,37.71,28.46
0,0.0,37.71,0.0
0,0.0,37.71,0.0
0,0.0,37.71,0.0
0,0.0,37.71,0.0
0,0.0,37.71,0.0
6,27.0,37.71,28.77
0,0.0,37.71,0.0
1,1.57,37.71,27.13
0,0.0,37.71,0.0
0,0.0,37.71,0.0
2,14.29,37.57,41.48
0,0.0,37.57,0.0
2,7.0,37.57,18.88
2,31.0,37.57,21.87
0,0.0,37.57,0.0
0,0.0,37.57,0.0
1,18.0,37.57,14.96
0,0.0,37.57,0.0
1,0.29,37.57,34.27
0,0.0,37.57,0.0
0,0.0,37.57,0.0
7,17.86,37.57,71.81
0,0.0,37.57,0.0
0,0.0,37.57,0.0
0,0.0,37.57,0.0
2,29.0,37.57,14.47
0,0.0,37.57,0.0
4,24.29,37.57,37.26
0,0.0,37.43,0.0
1,14.86,37.43,14.99
1,27.43,37.43,21.74
0,0.0,37.43,0.0
0,0.0,37.43,0.0
0,0.0,37.43,0.0
0,0.0,37.43,0.0
0,0.0,37.43,0.0
2,11.43,37.43,20.35
0,0.0,37.43,0.0
1,2.0,37.43,13.97
1,1.86,37.43,9.77
2,33.0,37.43,28.65
0,0.0,37.43,0.0
3,36.57,37.43,22.29
0,0.0,37.43,0.0
0,0.0,37.43,0.0
0,0.0,37.43,0.0
0,0.0,37.43,0.0
0,0.0,37.43,0.0
0,0.0,37.43,0.0
0,0.0,37.43,0.0
0,0.0,37.43,0.0
0,0.0,37.43,0.0
4,31.43,37.43,24.09
1,8.29,37.29,55.28
5,5.14,37.29,194.86
0,0.0,37.29,0.0
0,0.0,37.29,0.0
2,24.0,37.29,36.11
0,0.0,37.29,0.0
1,1.86,37.29,30.32
2,20.43,37.29,26.94
0,0.0,37.29,0.0
0,0.0,37.29,0.0
1,32.0,37.29,16.36
0,0.0,37.29,0.0
1,0.43,37.29,11.77
0,0.0,37.29,0.0
5,16.14,37.29,32.12
0,0.0,37.29,0.0
0,0.0,37.29,0.0
1,5.86,37.29,38.77
2,28.57,37.29,52.94
0,0.0,37.29,0.0
1,36.86,37.29,64.45
0,0.0,37.29,0.0
0,0.0,37.29,0.0
1,0.14,37.29,11.77
2,35.57,37.29,21.36
1,5.71,37.29,90.83
0,0.0,37.14,0.0
1,2.0,37.14,79.72
0,0.0,37.14,0.0
1,3.86,37.14,41.82
0,0.0,37.14,0.0
3,24.29,37.14,20.5
1,34.0,37.14,25.74
13,30.71,37.14,17.56
0,0.0,37.14,0.0
0,0.0,37.14,0.0
0,0.0,37.14,0.0
0,0.0,37.14,0.0
0,0.0,37.14,0.0
3,19.43,37.14,87.43
3,32.86,37.14,19.62
1,3.0,37.14,36.67
0,0.0,37.14,0.0
0,0.0,37.14,0.0
3,31.57,37.14,33.97
0,0.0,37.14,0.0
5,36.43,37.14,36.98
0,0.0,37.14,0.0
2,35.43,37.14,65.07
1,0.43,37.14,20.75
0,0.0,37.14,0.0
1,0.71,37.14,18.99
0,0.0,37.14,0.0
0,0.0,37.14,0.0
1,15.29,37.0,76.41
1,1.14,37.0,12.97
0,0.0,37.0,0.0
0,0.0,37.0,0.0
0,0.0,37.0,0.0
