date,campaign,active,spend,impressions,reach,clicks
2025-01-01,brand_always_on,True,78.75,6599,5458,105
2025-01-01,spring_promo,False,0.0,0,0,0
2025-01-01,lookalike_conversions,True,17.69,1011,972,22
2025-01-01,video_product_launch,False,0.0,0,0,0
2025-01-01,flash_sale_burst,False,0.0,0,0,0
2025-01-01,niche_interest,True,9.78,533,502,17
2025-01-01,broad_prospecting,False,0.0,0,0,0
2025-01-02,brand_always_on,True,232.18,19674,11803,301
2025-01-02,spring_promo,False,0.0,0,0,0
2025-01-02,lookalike_conversions,True,31.05,1792,1639,35
2025-01-02,video_product_launch,False,0.0,0,0,0
2025-01-02,flash_sale_burst,False,0.0,0,0,0
2025-01-02,niche_interest,True,13.31,671,622,15
2025-01-02,broad_prospecting,False,0.0,0,0,0
2025-01-03,brand_always_on,True,255.35,20743,12182,295
2025-01-03,spring_promo,False,0.0,0,0,0
2025-01-03,lookalike_conversions,True,49.39,2801,2461,62
2025-01-03,video_product_launch,False,0.0,0,0,0
2025-01-03,flash_sale_burst,False,0.0,0,0,0
2025-01-03,niche_interest,True,28.85,1582,1336,31
2025-01-03,broad_prospecting,False,0.0,0,0,0
2025-01-04,brand_always_on,True,369.78,29106,14521,404
2025-01-04,spring_promo,False,0.0,0,0,0
2025-01-04,lookalike_conversions,True,42.46,2366,2154,49
2025-01-04,video_product_launch,False,0.0,0,0,0
2025-01-04,flash_sale_burst,False,0.0,0,0,0
2025-01-04,niche_interest,True,26.84,1432,1216,41
2025-01-04,broad_prospecting,False,0.0,0,0,0
2025-01-05,brand_always_on,True,323.75,25917,13741,363
2025-01-05,spring_promo,False,0.0,0,0,0
2025-01-05,lookalike_conversions,True,43.61,2636,2357,57
2025-01-05,video_product_launch,False,0.0,0,0,0
2025-01-05,flash_sale_burst,False,0.0,0,0,0
2025-01-05,niche_interest,True,23.42,1264,1092,35
2025-01-05,broad_prospecting,False,0.0,0,0,0
2025-01-06,brand_always_on,True,510.69,43586,17099,635
2025-01-06,spring_promo,False,0.0,0,0,0
2025-01-06,lookalike_conversions,True,68.1,4067,3388,74
2025-01-06,video_product_launch,False,0.0,0,0,0
2025-01-06,flash_sale_burst,False,0.0,0,0,0
2025-01-06,niche_interest,True,24.98,1373,1197,41
2025-01-06,broad_prospecting,False,0.0,0,0,0
2025-01-07,brand_always_on,True,467.11,35509,15785,492
2025-01-07,spring_promo,False,0.0,0,0,0
2025-01-07,lookalike_conversions,True,104.71,5369,4323,126
2025-01-07,video_product_launch,False,0.0,0,0,0
2025-01-07,flash_sale_burst,False,0.0,0,0,0
2025-01-07,niche_interest,True,30.39,1594,1361,45
2025-01-07,broad_prospecting,False,0.0,0,0,0
2025-01-08,brand_always_on,True,487.5,39759,16413,542
2025-01-08,spring_promo,False,0.0,0,0,0
2025-01-08,lookalike_conversions,True,87.22,5580,4432,111
2025-01-08,video_product_launch,False,0.0,0,0,0
2025-01-08,flash_sale_burst,False,0.0,0,0,0
2025-01-08,niche_interest,True,40.99,2267,1837,56
2025-01-08,broad_prospecting,False,0.0,0,0,0
2025-01-09,brand_always_on,True,529.75,38847,16422,507
2025-01-09,spring_promo,False,0.0,0,0,0
2025-01-09,lookalike_conversions,True,98.31,6414,4877,129
2025-01-09,video_product_launch,False,0.0,0,0,0
2025-01-09,flash_sale_burst,False,0.0,0,0,0
2025-01-09,niche_interest,True,32.29,1622,1360,45
2025-01-09,broad_prospecting,False,0.0,0,0,0
