GROUP	SURVEY	SP	ID	PURPOSE	FIRST	TICKET	WHO	LUGGAGE	AGE	MALE	INCOME	GA	ORIGIN	DEST	TRAIN_AV	CAR_AV	SM_AV	TRAIN_TT	TRAIN_CO	TRAIN_HE	SM_TT	SM_CO	SM_HE	SM_SEATS	CAR_TT	CAR_CO	CHOICE
2	0	1	1	1	0	1	1	0	3	0	2	0	2	1	1	1	1	112	48	120	63	52	20	0	117	65	2
2	0	1	1	1	0	1	1	0	3	0	2	0	2	1	1	1	1	103	48	30	60	49	10	0	117	84	2
2	0	1	1	1	0	1	1	0	3	0	2	0	2	1	1	1	1	130	48	60	67	58	30	0	117	52	2
2	0	1	1	1	0	1	1	0	3	0	2	0	2	1	1	1	1	103	40	30	63	52	20	0	72	52	2
2	0	1	1	1	0	1	1	0	3	0	2	0	2	1	1	1	1	130	36	60	63	42	20	0	90	84	2
2	0	1	1	1	0	1	1	0	3	0	2	0	2	1	1	1	1	112	36	120	60	49	10	0	90	52	2
2	0	1	1	1	0	1	1	0	3	0	2	0	2	1	1	1	1	103	48	120	67	58	10	0	72	65	2
2	0	1	1	1	0	1	1	0	3	0	2	0	2	1	1	1	1	103	36	30	67	43	30	0	90	65	1
2	0	1	1	1	0	1	1	0	3	0	2	0	2	1	1	1	1	130	40	60	60	46	10	0	72	65	2
2	0	1	2	1	0	1	1	1	2	0	1	0	22	1	1	0	1	184	62	120	76	70	20	0	0	0	2
2	0	1	2	1	0	1	1	1	2	0	1	0	22	1	1	0	1	170	62	30	70	66	10	0	0	0	2
2	0	1	2	1	0	1	1	1	2	0	1	0	22	1	1	0	1	213	62	60	84	82	30	0	0	0	2
2	0	1	2	1	0	1	1	1	2	0	1	0	22	1	1	0	1	170	52	30	76	72	20	0	0	0	2
2	0	1	2	1	0	1	1	1	2	0	1	0	22	1	1	0	1	213	47	60	76	53	20	0	0	0	2
2	0	1	2	1	0	1	1	1	2	0	1	0	22	1	1	0	1	184	47	120	70	66	10	0	0	0	2
2	0	1	2	1	0	1	1	1	2	0	1	0	22	1	1	0	1	170	62	120	84	82	10	0	0	0	2
2	0	1	2	1	0	1	1	1	2	0	1	0	22	1	1	0	1	170	47	30	84	57	30	0	0	0	2
2	0	1	2	1	0	1	1	1	2	0	1	0	22	1	1	0	1	213	52	60	70	62	10	0	0	0	2
2	0	1	3	1	0	1	1	1	2	1	2	0	10	25	1	1	1	58	32	30	29	35	10	0	105	40	2
2	0	1	3	1	0	1	1	1	2	1	2	0	10	25	1	1	1	58	29	30	25	38	20	0	136	50	2
2	0	1	3	1	0	1	1	1	2	1	2	0	10	25	1	1	1	58	32	120	27	40	10	1	136	65	2
2	0	1	3	1	0	1	1	1	2	1	2	0	10	25	1	1	1	47	29	60	25	38	30	1	84	65	2
2	0	1	3	1	0	1	1	1	2	1	2	0	10	25	1	1	1	51	32	30	25	36	30	1	136	40	2
2	0	1	3	1	0	1	1	1	2	1	2	0	10	25	1	1	1	51	38	60	25	42	20	0	84	40	2
2	0	1	3	1	0	1	1	1	2	1	2	0	10	25	1	1	1	51	29	30	27	32	10	1	84	50	2
2	0	1	3	1	0	1	1	1	2	1	2	0	10	25	1	1	1	51	32	60	27	40	30	0	105	50	2
2	0	1	3	1	0	1	1	1	2	1	2	0	10	25	1	1	1	58	38	30	27	42	30	0	84	65	2
2	0	1	4	1	0	1	1	1	2	1	3	0	19	2	1	1	1	138	40	30	65	45	10	0	135	80	2
2	0	1	4	1	0	1	1	1	2	1	3	0	19	2	1	1	1	138	40	120	61	52	10	1	175	130	2
2	0	1	4	1	0	1	1	1	2	1	3	0	19	2	1	1	1	138	36	30	58	49	20	0	175	100	2
2	0	1	4	1	0	1	1	1	2	1	3	0	19	2	1	1	1	105	36	60	58	49	30	1	108	130	2
2	0	1	4	1	0	1	1	1	2	1	3	0	19	2	1	1	1	116	40	30	58	46	30	1	175	80	2
2	0	1	4	1	0	1	1	1	2	1	3	0	19	2	1	1	1	116	36	30	61	42	10	1	108	100	2
2	0	1	4	1	0	1	1	1	2	1	3	0	19	2	1	1	1	116	48	60	58	50	20	0	108	80	2
2	0	1	4	1	0	1	1	1	2	1	3	0	19	2	1	1	1	138	48	30	61	52	30	0	108	130	2
2	0	1	4	1	0	1	1	1	2	1	3	0	19	2	1	1	1	116	40	60	61	52	30	0	135	100	2
2	0	1	5	1	0	1	1	1	2	1	3	0	21	17	1	0	1	269	70	120	216	72	20	0	0	0	2
2	0	1	5	1	0	1	1	1	2	1	3	0	21	17	1	0	1	243	70	30	213	70	10	0	0	0	2
2	0	1	5	1	0	1	1	1	2	1	3	0	21	17	1	0	1	320	70	60	220	74	30	0	0	0	2
2	0	1	5	1	0	1	1	1	2	1	3	0	21	17	1	0	1	243	58	30	216	66	20	0	0	0	2
2	0	1	5	1	0	1	1	1	2	1	3	0	21	17	1	0	1	320	52	60	216	57	20	0	0	0	2
2	0	1	5	1	0	1	1	1	2	1	3	0	21	17	1	0	1	269	52	120	213	62	10	0	0	0	2
2	0	1	5	1	0	1	1	1	2	1	3	0	21	17	1	0	1	243	70	120	220	74	10	0	0	0	2
2	0	1	5	1	0	1	1	1	2	1	3	0	21	17	1	0	1	243	52	30	220	57	30	0	0	0	2
2	0	1	5	1	0	1	1	1	2	1	3	0	21	17	1	0	1	320	58	60	213	64	10	0	0	0	2
2	0	1	6	1	0	1	1	1	3	0	3	0	9	17	1	1	1	116	35	120	46	38	30	1	70	35	2
2	0	1	6	1	0	1	1	1	3	0	3	0	9	17	1	1	1	95	26	120	49	29	30	0	91	28	2
2	0	1	6	1	0	1	1	1	3	0	3	0	9	17	1	1	1	116	26	120	53	32	20	1	56	28	2
2	0	1	6	1	0	1	1	1	3	0	3	0	9	17	1	1	1	102	26	60	53	32	10	0	91	45	2
2	0	1	6	1	0	1	1	1	3	0	3	0	9	17	1	1	1	102	29	120	53	32	30	0	56	45	2
2	0	1	6	1	0	1	1	1	3	0	3	0	9	17	1	1	1	95	29	60	53	32	20	1	91	35	2
2	0	1	6	1	0	1	1	1	3	0	3	0	9	17	1	1	1	95	35	60	49	40	10	1	70	28	2
2	0	1	6	1	0	1	1	1	3	0	3	0	9	17	1	1	1	95	29	120	46	35	20	0	70	45	2
2	0	1	6	1	0	1	1	1	3	0	3	0	9	17	1	1	1	102	35	30	53	46	20	1	70	45	2
2	0	1	7	1	0	1	1	1	3	1	1	0	1	2	1	1	1	87	42	120	32	49	20	0	117	140	2
2	0	1	7	1	0	1	1	1	3	1	1	0	1	2	1	1	1	80	42	30	29	46	10	0	117	182	2
2	0	1	7	1	0	1	1	1	3	1	1	0	1	2	1	1	1	101	42	60	36	56	30	0	117	112	2
2	0	1	7	1	0	1	1	1	3	1	1	0	1	2	1	1	1	80	35	30	32	49	20	0	72	112	2
2	0	1	7	1	0	1	1	1	3	1	1	0	1	2	1	1	1	101	31	60	32	38	20	0	90	182	2
2	0	1	7	1	0	1	1	1	3	1	1	0	1	2	1	1	1	87	31	120	29	46	10	0	90	112	2
2	0	1	7	1	0	1	1	1	3	1	1	0	1	2	1	1	1	80	42	120	36	56	10	0	72	140	1
2	0	1	7	1	0	1	1	1	3	1	1	0	1	2	1	1	1	80	31	30	36	40	30	0	90	140	2
2	0	1	7	1	0	1	1	1	3	1	1	0	1	2	1	1	1	101	35	60	29	43	10	0	72	140	2
2	0	1	8	1	0	1	1	1	4	1	3	0	1	17	1	1	1	109	26	120	56	34	20	0	130	30	2
2	0	1	8	1	0	1	1	1	4	1	3	0	1	17	1	1	1	100	26	30	53	32	10	0	130	39	2
2	0	1	8	1	0	1	1	1	4	1	3	0	1	17	1	1	1	126	26	60	60	40	30	0	130	24	2
2	0	1	8	1	0	1	1	1	4	1	3	0	1	17	1	1	1	100	22	30	56	35	20	0	80	24	3
2	0	1	8	1	0	1	1	1	4	1	3	0	1	17	1	1	1	126	20	60	56	24	20	0	100	39	2
2	0	1	8	1	0	1	1	1	4	1	3	0	1	17	1	1	1	109	20	120	53	32	10	0	100	24	3
