month,channel,impressions,contribution
2023-01,HMI Audio,174900607.5911,0.002931639
2023-01,HMI Digital Video,10452092.0,0.014308458
2023-01,HMI Display,1754.0,0.023592465
2023-01,HMI Linear,9006157.0,0.004043055
2023-01,HMI OOH,7676036.751999999,0.00684281
2023-01,Influencer,0.0,5.69798e-05
2023-01,MACS App,729986495.0,0.045564535
2023-01,MACS Programmatic,85476525.0,0.005980244
2023-01,MACS Social,217413474.0,0.023894688
2023-01,OO Display,19278599.0,0.007863984
2023-01,OO Linear,220872249.21940002,0.038018479
2023-01,OO Video,51990979.0,0.051092213
2023-01,Paid Search,13732345.0,0.050035354
2023-01,Partnerships,909793941.82275,0.174805105
2023-01,Podcast One Audio,52634661.07986,0.036536341
2023-02,HMI Audio,93816629.771,0.003013895
2023-02,HMI Digital Video,18191994.0,0.012409353
2023-02,HMI Display,741270.0,0.016096592
2023-02,HMI Linear,6543153.0,0.004916435
2023-02,HMI OOH,28584109.60215,0.002220979
2023-02,Influencer,0.0,0.0
2023-02,MACS App,669050043.0,0.044825986
2023-02,MACS Programmatic,108391267.0,0.006461956
2023-02,MACS Social,172522819.0,0.027254092
2023-02,OO Display,15020791.0,0.007441298
2023-02,OO Linear,128873321.0,0.028931627
2023-02,OO Video,50813878.0,0.050234222
2023-02,Paid Search,21067852.0,0.057408468
2023-02,Partnerships,928097536.227,0.185633724
2023-02,Podcast One Audio,63821729.988,0.043272534
2023-03,HMI Audio,108207480.966,0.005737423
2023-03,HMI Digital Video,7902500.0,0.010496103
2023-03,HMI Display,36933436.0,0.023108751
2023-03,HMI Linear,24621590.0,0.01311749
2023-03,HMI OOH,206491786.92990002,0.001971336
2023-03,Influencer,0.0,0.0
2023-03,MACS App,937741534.0,0.047212672
2023-03,MACS Programmatic,318298218.0,0.017328708
2023-03,MACS Social,248928140.0,0.02679639
2023-03,OO Display,8248156.0,0.005283044
2023-03,OO Linear,180164036.0,0.028519456
2023-03,OO Video,48029152.0,0.046851546
2023-03,Paid Search,23405871.0,0.055948863
2023-03,Partnerships,982442975.82275,0.187811883
2023-03,Podcast One Audio,67299024.218,0.046204114
2023-04,HMI Audio,89177900.0,0.008564057
2023-04,HMI Digital Video,3668886.0,0.004076022
2023-04,HMI Display,12325601.0,0.028977436
2023-04,HMI Linear,11770537.0,0.010209261
2023-04,HMI OOH,0.0,0.000626646
2023-04,Influencer,0.0,0.0
2023-04,MACS App,372800887.0,0.037227759
2023-04,MACS Programmatic,202430798.0,0.01842625
2023-04,MACS Social,173347160.0,0.02092745
2023-04,OO Display,10591279.0,0.005303888
2023-04,OO Linear,172261826.0,0.039337506
2023-04,OO Video,53728912.0,0.049211207
2023-04,Paid Search,14371419.0,0.045566497
2023-04,Partnerships,864305719.9575,0.18851398
2023-04,Podcast One Audio,52865373.66,0.042847325
2023-05,HMI Audio,4209407.142,0.004894938
2023-05,HMI Digital Video,14.0,0.001416334
2023-05,HMI Display,4695673.0,0.028276929
2023-05,HMI Linear,0.0,0.006656837
2023-05,HMI OOH,0.0,0.000342331
